Ana Sousa;201911250001;4.5;10.0;8.9;6.4;11
Arthur Soares;201911250002;6.2;2.7;8.4;10.0;0
Beatriz Alves;201911250003;9.7;9.3;9.6;6.9;5
Bianca Farias;201911250004;9.2;9.4;9.2;7.6;12
Carlos Azevedo;201911250005;3.8;8.6;8.0;7.9;8
Bruna Pereira;201911250006;7.9;3.4;8.3;9.7;0
Clara Silva;201911250007;9.9;10.0;9.6;3.0;15
Daniel Pereira;201911250008;5.9;10.0;9.9;6.3;0
Elismar Morais;201911250009;10.0;8.4;3.8;2.5;9
Filipe Lima;201911250010;6.2;9.7;5.4;10.0;2
Gabriel Miranda;201911250011;9.9;10.0;9.6;3.0;13
Hercules Lacerda;201911250012;3.9;10.0;9.9;5.3;0
Guilherme Bezerra;201911250013;9.5;10.0;4.9;2.4;8
Hugo Aureliano;201911250014;7.9;4.4;8.3;9.7;0
Huan Borges;201911250015;8.2;2.7;8.4;10.0;3
Icaro Barbosa;201911250016;9.2;7.3;1.9;8.9;6
Isaac Queiroz;201911250017;3.2;5.9;7.9;4.7;9
Jamil Costa;201911250018;7.9;6.2;9.0;8.2;7
Jonatan Ferreira;201911250019;6.9;8.3;9.3;8.1;5
Joao Andrade;201911250020;5.3;4.5;3.2;5.6;4
Jonatas Farias;201911250021;3.4;4.2;5.1;4.9;2
Juliana Duarte;201911250022;8.6;7.9;6.8;7.2;7
Luana Costa;201911250023;9.5;8.6;7.9;8.6;11
Lucas Correia;201911250024;3.4;4.6;5.1;6.3;10
Lucca Santos;201911250025;9.9;9.3;9.1;7.4;5
Luan Guimaraes;201911250026;3.9;4.5;5.2;3.9;17
Luis Santos;201911250027;2.0;8.0;3.9;6.3;0
Lucas Rodrigues;201911250028;9.5;10.0;4.9;2.4;0
Maria Eduarda;201911250029;3.8;8.6;8.0;7.9;10
Marcos Guimaraes;201911250030;5.4;4.2;5.1;3.9;10
Maria Alves;201911250031;9.9;10.0;9.6;6.0;1
Mateus Silva;201911250032;7.2;9.7;6.4;10.0;0
Matheus Aureliano;201911250033;9.9;8.5;9.2;4.9;11
